step_number,epoch_number,training_loss
1,0,3.104445457458496
2,0,2.2725226879119873
3,0,1.7553086280822754
4,0,1.4095022678375244
5,0,1.3302855491638184
6,0,1.2782235145568848
7,0,1.4429007768630981
8,0,1.0933507680892944
9,0,1.1011087894439697
10,0,0.9171886444091797
11,0,1.0980796813964844
12,0,0.9206184148788452
13,0,0.8327983021736145
14,0,0.6951854228973389
15,0,0.7858083248138428
16,0,0.8324568867683411
17,0,0.8734434247016907
18,0,0.5829559564590454
19,0,0.6519421339035034
20,0,0.46154719591140747
21,0,0.6981054544448853
22,0,0.63071209192276
23,0,0.5638435482978821
24,0,0.398756742477417
25,0,0.35904401540756226
26,0,0.6641344428062439
27,0,0.4360766112804413
28,0,0.36784327030181885
29,0,0.3673666715621948
30,0,0.467492938041687
31,1,0.25101274251937866
32,1,0.3253859877586365
33,1,0.3217417001724243
34,1,0.1752861887216568
35,1,0.3686942458152771
36,1,0.24775201082229614
37,1,0.17651641368865967
38,1,0.17037293314933777
39,1,0.2619163393974304
40,1,0.10391252487897873
41,1,0.16435961425304413
42,1,0.15269134938716888
43,1,0.08733223378658295
44,1,0.11695456504821777
45,1,0.1375337392091751
46,1,0.16643700003623962
47,1,0.1600528061389923
48,1,0.13574397563934326
49,1,0.1310984045267105
50,1,0.08001063019037247
51,1,0.21658869087696075
52,1,0.11116830259561539
53,1,0.11005426198244095
54,1,0.15260016918182373
55,1,0.053053755313158035
56,1,0.18535391986370087
57,1,0.0822460800409317
58,1,0.05342584848403931
59,1,0.06962145119905472
60,1,0.11617535352706909
